net,length_um
coh_status\[6\],16.26µm
u_uart.tx_bitcnt_q\[0\],16.22µm
_0311_,16.18µm
u_gpio.led4_cnt_q\[1\],16.18µm
u_gpio.led3_cnt_q\[17\],16.08µm
coh_inv_ack\[1\],16.02µm
_0342_,15.98µm
coh_status\[14\],15.98µm
u_gpio.led4_cnt_q\[15\],15.98µm
net108,15.98µm
_0233_,15.94µm
coh_status\[2\],15.72µm
_0252_,15.7µm
_0189_,15.64µm
u_gpio.led3_cnt_q\[6\],15.64µm
per_core\[1\].u_dcache.line_valid_reg\[0\]\[0\],15.58µm
u_uart.tx_baud_cnt_q\[9\],15.56µm
_0330_,15.52µm
coh_status\[0\],15.52µm
coh_status\[12\],15.52µm
u_sram.w_ready_d,15.44µm
u_coh.coh_state_next\[1\],15.38µm
_0077_,15.36µm
u_gpio.led1_cnt_q\[7\],15.34µm
_0140_,15.26µm
u_gpio.led2_cnt_q\[4\],15.26µm
_0005_,15.22µm
_0271_,15.2µm
u_gpio.led3_cnt_q\[10\],15.2µm
_0369_,15.14µm
_0392_,15.1µm
m_bready\[0\],15.1µm
u_gpio.led0_cnt_q\[21\],15.06µm
u_gpio.led3_cnt_d\[14\],14.98µm
_0177_,14.96µm
_0372_,14.92µm
net157,14.92µm
_0162_,14.88µm
led[0],14.86µm
led[1],14.86µm
led[2],14.86µm
led[3],14.86µm
u_gpio.led1_cnt_q\[11\],14.84µm
u_gpio.led1_cnt_q\[6\],14.84µm
net90,14.8µm
_0086_,14.76µm
_0427_,14.76µm
_0214_,14.72µm
_0296_,14.72µm
_0431_,14.72µm
_0129_,14.64µm
u_gpio.led2_cnt_q\[14\],14.64µm
u_gpio.led0_cnt_q\[18\],14.635µm
u_gpio.led2_cnt_q\[3\],14.62µm
_0081_,14.6µm
_0216_,14.56µm
_0118_,14.42µm
_0109_,14.18µm
_0237_,14.18µm
net136,14.18µm
net85,14.115µm
net86,14.115µm
net,14.115µm
_0093_,14.1µm
_0229_,14.06µm
u_gpio.led3_cnt_q\[2\],14.02µm
_0365_,14µm
u_gpio.led4_cnt_q\[9\],14µm
u_gpio.led2_cnt_q\[2\],13.96µm
clknet_4_4_0_clk,13.96µm
_0191_,13.94µm
u_gpio.led1_cnt_q\[2\],13.92µm
net1,13.9µm
_0206_,13.88µm
_0433_,13.84µm
u_gpio.led3_cnt_d\[11\],13.8µm
u_gpio.led1_cnt_q\[3\],13.76µm
_0105_,13.68µm
_0112_,13.68µm
_0184_,13.68µm
_0024_,13.66µm
coh_status\[5\],13.58µm
_0288_,13.42µm
_0344_,13.38µm
u_gpio.led1_cnt_q\[8\],13.34µm
net149,13.32µm
u_gpio.led3_cnt_q\[5\],13.315µm
u_gpio.led0_cnt_q\[11\],13.3µm
net139,13.26µm
u_gpio.led0_cnt_q\[10\],13.22µm
net97,13.18µm
_0120_,13.1µm
_0251_,13.1µm
u_gpio.led0_cnt_q\[17\],12.98µm
_0009_,12.805µm
_0306_,12.7µm
_0003_,12.68µm
_0316_,12.62µm
_0250_,12.54µm
coh_status\[1\],12.54µm
u_coh.proc_idx_q\[1\],12.54µm
u_gpio.led2_cnt_d\[20\],12.5µm
_0275_,12.48µm
_0285_,12.48µm
_0068_,12.47µm
_0387_,12.38µm
u_gpio.led0_cnt_q\[15\],12.38µm
_0379_,12.32µm
u_gpio.led3_cnt_q\[8\],12.3µm
coh_status\[13\],12.26µm
_0318_,12.2µm
_0413_,12.18µm
_0391_,12.08µm
_0414_,12.08µm
_0136_,11.98µm
u_uart.tx_baud_cnt_d\[6\],11.92µm
u_gpio.led3_cnt_q\[11\],11.88µm
_0018_,11.84µm
_0278_,11.84µm
net197,11.84µm
net119,11.78µm
_0080_,11.77µm
_0361_,11.76µm
_0374_,11.74µm
u_gpio.led4_cnt_q\[12\],11.66µm
_0181_,11.62µm
u_uart.tx_shift_q\[0\],11.56µm
u_uart.tx_shift_q\[8\],11.5µm
_0352_,11.48µm
_0305_,11.46µm
_0339_,11.46µm
_0364_,11.46µm
u_gpio.led4_cnt_q\[17\],11.375µm
_0016_,11.32µm
net187,11.28µm
u_gpio.led0_cnt_q\[9\],11.26µm
_0220_,11.2µm
_0341_,11.2µm
per_core\[0\].u_dcache.line_valid_reg\[3\]\[0\],11.2µm
net111,11.2µm
_0069_,11.17µm
u_gpio.led0_cnt_q\[8\],11.16µm
_0383_,11.12µm
_0426_,11.12µm
_0222_,11.06µm
u_gpio.led2_cnt_q\[12\],11.04µm
u_gpio.led0_cnt_q\[6\],10.98µm
_0173_,10.96µm
net138,10.96µm
u_gpio.led4_cnt_q\[10\],10.94µm
_0137_,10.935µm
net155,10.86µm
_0046_,10.845µm
_0272_,10.82µm
u_gpio.led4_cnt_q\[6\],10.82µm
_0375_,10.7µm
u_gpio.led2_cnt_q\[20\],10.7µm
u_uart.tx_bitcnt_q\[2\],10.7µm
_0082_,10.68µm
u_gpio.led2_cnt_d\[7\],10.66µm
_0425_,10.62µm
u_gpio.led4_cnt_d\[16\],10.62µm
_0007_,10.58µm
u_gpio.led4_cnt_q\[16\],10.58µm
_0167_,10.54µm
_0301_,10.54µm
_0240_,10.5µm
_0281_,10.46µm
_0064_,10.4µm
per_core\[1\].u_dcache.line_valid_reg\[2\]\[0\],10.4µm
_0343_,10.38µm
u_uart.tx_baud_cnt_q\[4\],10.38µm
net165,10.325µm
_0131_,10.32µm
_0291_,10.32µm
_0294_,10.32µm
_0310_,10.32µm
coh_status\[9\],10.28µm
per_core\[0\].u_dcache.line_valid_reg\[0\]\[0\],10.28µm
_0151_,10.26µm
_0412_,10.26µm
_0035_,10.24µm
_0287_,10.2µm
u_gpio.led0_cnt_d\[19\],10.2µm
_0406_,10.12µm
_0405_,10.09µm
_0235_,10.08µm
_0309_,10.06µm
u_gpio.led0_cnt_q\[5\],10.06µm
u_gpio.led2_cnt_q\[17\],10.04µm
_0304_,10µm
_0409_,10µm
_0314_,9.96µm
_0282_,9.9µm
u_gpio.led0_cnt_q\[2\],9.9µm
net177,9.82µm
net6,9.8µm
u_gpio.led1_cnt_q\[12\],9.8µm
_0078_,9.72µm
u_gpio.led1_cnt_d\[13\],9.7µm
_0043_,9.66µm
u_gpio.led0_cnt_d\[16\],9.54µm
u_gpio.led3_cnt_d\[18\],9.54µm
u_gpio.led4_cnt_q\[3\],9.54µm
_0421_,9.5µm
net133,9.48µm
net125,9.44µm
net156,9.44µm
_0398_,9.42µm
_0261_,9.38µm
_0396_,9.24µm
u_gpio.led1_cnt_q\[18\],9.24µm
u_gpio.led2_cnt_d\[8\],9.24µm
rst_n,9.23µm
_0286_,9.22µm
_0006_,9.16µm
_0231_,9.16µm
net104,9.16µm
u_gpio.led2_cnt_q\[8\],9.14µm
u_gpio.led1_cnt_d\[0\],9.02µm
net122,9.02µm
_0125_,9µm
_0011_,8.98µm
_0049_,8.98µm
_0385_,8.94µm
_0378_,8.9µm
_0386_,8.9µm
net5,8.9µm
u_gpio.led2_cnt_q\[9\],8.9µm
net100,8.9µm
_0015_,8.86µm
_0394_,8.86µm
net3,8.86µm
coh_status\[11\],8.78µm
u_gpio.led1_cnt_d\[14\],8.78µm
u_gpio.led1_cnt_d\[20\],8.76µm
_0029_,8.74µm
net195,8.74µm
net129,8.7µm
net175,8.68µm
_0032_,8.665µm
u_gpio.led0_cnt_d\[7\],8.66µm
net126,8.66µm
_0264_,8.6µm
_0315_,8.58µm
_0312_,8.56µm
u_uart.tx_baud_cnt_q\[6\],8.56µm
u_gpio.led2_cnt_d\[17\],8.52µm
net178,8.52µm
u_gpio.led2_cnt_d\[4\],8.48µm
u_gpio.led3_cnt_d\[15\],8.44µm
u_uart.tx_baud_cnt_q\[7\],8.44µm
u_uart.tx_bitcnt_q\[3\],8.4µm
_0262_,8.32µm
_0358_,8.32µm
uart_tx,8.305µm
_0223_,8.24µm
_0066_,8.22µm
u_gpio.led2_cnt_q\[15\],8.22µm
_0204_,8.2µm
_0415_,8.2µm
per_core\[1\].u_dcache.line_valid_reg\[1\]\[0\],8.2µm
_0027_,8.18µm
u_gpio.led1_cnt_q\[9\],8.18µm
_0317_,8.16µm
u_gpio.led1_cnt_q\[20\],8.1µm
u_gpio.led3_cnt_d\[17\],8.1µm
_0030_,8.085µm
_0154_,8.06µm
_0284_,8.06µm
_0319_,8.06µm
_0337_,7.98µm
u_gpio.led0_cnt_q\[12\],7.98µm
u_gpio.led1_cnt_d\[11\],7.98µm
u_gpio.led4_cnt_d\[11\],7.98µm
u_uart.tx_baud_cnt_q\[3\],7.98µm
net140,7.98µm
_0165_,7.96µm
_0038_,7.94µm
_0058_,7.94µm
net135,7.94µm
_0034_,7.905µm
_0243_,7.9µm
_0290_,7.86µm
_0430_,7.86µm
net160,7.86µm
u_gpio.led0_cnt_q\[3\],7.76µm
u_gpio.led1_cnt_d\[8\],7.74µm
_0283_,7.7µm
_0403_,7.7µm
net113,7.68µm
u_gpio.led2_cnt_d\[6\],7.64µm
u_gpio.led4_cnt_d\[9\],7.64µm
net161,7.605µm
_0031_,7.6µm
net115,7.6µm
net170,7.52µm
_0090_,7.505µm
u_gpio.led0_cnt_d\[8\],7.48µm
u_gpio.led2_cnt_d\[15\],7.48µm
net173,7.48µm
u_gpio.led1_cnt_q\[15\],7.47µm
_0303_,7.44µm
net134,7.42µm
net202,7.42µm
u_gpio.led4_cnt_q\[11\],7.32µm
_0101_,7.28µm
_0254_,7.26µm
u_coh.proc_core_d,7.26µm
_0326_,7.24µm
net116,7.24µm
coh_status\[10\],7.22µm
u_gpio.led4_cnt_d\[7\],7.18µm
net154,7.18µm
net172,7.18µm
net192,7.18µm
u_gpio.led1_cnt_d\[1\],7.16µm
_0052_,7.14µm
net186,7.1µm
u_gpio.led3_cnt_d\[9\],7.08µm
_0115_,7.06µm
u_gpio.led1_cnt_d\[21\],7.06µm
coh_status\[4\],6.98µm
u_uart.tx_shift_q\[2\],6.98µm
_0253_,6.94µm
_0308_,6.94µm
_0313_,6.94µm
u_gpio.led3_cnt_d\[2\],6.94µm
u_gpio.led4_cnt_d\[0\],6.94µm
_0017_,6.92µm
_0042_,6.91µm
_0422_,6.9µm
u_gpio.led2_cnt_d\[10\],6.865µm
_0211_,6.84µm
u_gpio.led4_cnt_d\[17\],6.82µm
_0293_,6.78µm
_0408_,6.78µm
net7,6.78µm
net159,6.78µm
net191,6.78µm
_0350_,6.76µm
net145,6.76µm
net87,6.72µm
u_gpio.led1_cnt_d\[19\],6.72µm
net189,6.72µm
_0023_,6.7µm
_0126_,6.7µm
_0199_,6.6µm
u_gpio.led3_cnt_q\[21\],6.6µm
_0347_,6.48µm
net183,6.48µm
_0063_,6.42µm
_0323_,6.4µm
_0187_,6.38µm
u_gpio.led1_cnt_d\[5\],6.38µm
_0289_,6.32µm
net167,6.32µm
_0004_,6.3µm
_0019_,6.3µm
net89,6.3µm
u_gpio.led4_cnt_d\[18\],6.26µm
_0299_,6.18µm
u_uart.tx_baud_cnt_q\[8\],6.16µm
u_coh.proc_idx_d\[0\],6.14µm
u_gpio.led0_cnt_d\[10\],6.14µm
u_uart.tx_baud_cnt_d\[0\],6.14µm
net151,6.14µm
net190,6.14µm
_0121_,6.105µm
net130,6.08µm
_0172_,6.06µm
net199,6.06µm
_0258_,6.02µm
_0298_,6.02µm
_0338_,5.94µm
_0170_,5.84µm
u_gpio.led1_cnt_d\[3\],5.84µm
u_gpio.led1_cnt_d\[6\],5.84µm
net121,5.84µm
_0389_,5.8µm
rst_sync_n_1,5.8µm
u_gpio.led3_cnt_d\[5\],5.8µm
u_gpio.led4_cnt_d\[3\],5.8µm
_0228_,5.74µm
_0292_,5.72µm
_0360_,5.72µm
u_gpio.led3_cnt_d\[10\],5.72µm
u_gpio.led3_cnt_d\[4\],5.72µm
u_uart.tx_baud_cnt_d\[7\],5.72µm
_0274_,5.68µm
_0420_,5.68µm
_0424_,5.68µm
net4,5.68µm
u_gpio.led0_cnt_d\[15\],5.68µm
u_gpio.led2_cnt_d\[11\],5.68µm
net174,5.68µm
_0056_,5.62µm
_0065_,5.6µm
net181,5.6µm
net114,5.58µm
net117,5.545µm
_0028_,5.5µm
_0045_,5.5µm
u_sram.u_sram.we,5.5µm
u_gpio.led1_cnt_d\[2\],5.46µm
u_gpio.led0_cnt_q\[20\],5.38µm
u_gpio.led3_cnt_q\[3\],5.38µm
u_uart.tx_shift_q\[1\],5.38µm
net124,5.38µm
_0248_,5.36µm
_0279_,5.36µm
net103,5.36µm
_0138_,5.305µm
_0267_,5.28µm
_0321_,5.26µm
_0363_,5.22µm
_0366_,5.22µm
u_gpio.led0_cnt_d\[11\],5.22µm
u_gpio.led0_cnt_d\[2\],5.22µm
_0013_,5.14µm
net185,5.14µm
u_gpio.led0_cnt_d\[12\],5.1µm
u_uart.tx_shift_q\[5\],5.1µm
_0095_,5.06µm
net141,5.06µm
_0037_,5.04µm
_0331_,5.02µm
_0033_,5µm
u_gpio.led1_cnt_d\[12\],5µm
_0393_,4.94µm
net112,4.94µm
_0008_,4.92µm
_0370_,4.92µm
u_gpio.led0_active,4.92µm
u_uart.tx_shift_q\[7\],4.92µm
net166,4.92µm
_0012_,4.88µm
per_core\[1\].u_dcache.line_valid_reg\[3\]\[0\],4.88µm
u_coh.proc_idx_d\[1\],4.88µm
u_gpio.led4_cnt_d\[20\],4.88µm
net196,4.88µm
_0225_,4.8µm
_0380_,4.78µm
_0242_,4.76µm
u_gpio.led1_active,4.76µm
_0119_,4.66µm
_0348_,4.56µm
_0362_,4.56µm
_0388_,4.56µm
u_gpio.led2_cnt_d\[19\],4.56µm
u_gpio.led2_cnt_q\[18\],4.56µm
net143,4.56µm
_0026_,4.46µm
_0332_,4.46µm
u_gpio.led0_cnt_d\[17\],4.46µm
u_gpio.led3_cnt_q\[14\],4.46µm
net168,4.46µm
_0124_,4.42µm
_0322_,4.42µm
u_gpio.led0_cnt_d\[14\],4.42µm
_0060_,4.34µm
_0280_,4.34µm
u_gpio.led2_active,4.34µm
u_gpio.led3_cnt_d\[0\],4.34µm
u_gpio.led3_cnt_q\[9\],4.34µm
net164,4.34µm
net200,4.34µm
u_gpio.led3_cnt_d\[19\],4.14µm
net188,4.14µm
_0041_,4.12µm
u_gpio.led3_cnt_d\[12\],4.12µm
_0376_,4.11µm
_0014_,4.1µm
_0333_,4.1µm
_0401_,4.1µm
_0419_,4.08µm
u_gpio.led2_cnt_d\[0\],4.08µm
_0047_,4µm
u_gpio.led0_cnt_d\[9\],4µm
u_gpio.led2_cnt_d\[9\],4µm
net171,4µm
net107,3.98µm
_0020_,3.88µm
_0059_,3.88µm
_0195_,3.88µm
u_gpio.led1_cnt_d\[18\],3.88µm
net88,3.88µm
net176,3.88µm
net163,3.78µm
per_core\[0\].u_dcache.line_valid_reg\[1\]\[0\],3.76µm
_0113_,3.68µm
u_gpio.led0_cnt_d\[21\],3.66µm
u_gpio.led3_cnt_d\[21\],3.66µm
u_gpio.led4_cnt_d\[4\],3.66µm
net110,3.66µm
_0295_,3.64µm
coh_status\[8\],3.64µm
per_core\[0\].u_core.rst_n,3.64µm
net120,3.64µm
_0048_,3.575µm
u_gpio.led4_cnt_d\[19\],3.565µm
_0076_,3.56µm
_0297_,3.56µm
_0340_,3.56µm
_0399_,3.56µm
_0025_,3.54µm
_0067_,3.54µm
net194,3.54µm
_0351_,3.42µm
net2,3.42µm
u_gpio.led1_cnt_d\[15\],3.42µm
u_uart.tx_baud_cnt_d\[5\],3.42µm
u_uart.tx_baud_cnt_d\[8\],3.42µm
net137,3.42µm
net132,3.415µm
net123,3.32µm
u_gpio.led4_cnt_d\[2\],3.265µm
_0153_,3.22µm
_0050_,3.2µm
u_gpio.led4_cnt_d\[15\],3.2µm
u_uart.tx_baud_cnt_d\[2\],3.2µm
_0057_,3.18µm
u_gpio.led0_cnt_d\[18\],3.18µm
_0325_,3.1µm
u_gpio.led1_cnt_d\[17\],3.1µm
u_gpio.led4_cnt_d\[6\],3.1µm
_0053_,3.08µm
_0263_,3.08µm
_0300_,3.08µm
u_gpio.led0_cnt_d\[6\],3.08µm
u_gpio.led1_cnt_d\[9\],3.08µm
u_gpio.led2_cnt_d\[12\],3.08µm
u_uart.tx_shift_q\[6\],3.08µm
net95,3.08µm
net169,3.08µm
net128,2.98µm
_0039_,2.96µm
_0349_,2.96µm
_0373_,2.96µm
_0377_,2.96µm
u_gpio.led0_cnt_d\[5\],2.96µm
u_gpio.led3_cnt_d\[6\],2.96µm
u_gpio.led3_cnt_d\[7\],2.96µm
u_gpio.led3_cnt_d\[8\],2.96µm
net91,2.96µm
_0155_,2.92µm
net131,2.86µm
_0397_,2.84µm
u_gpio.led0_cnt_d\[3\],2.76µm
u_gpio.led4_cnt_d\[12\],2.74µm
u_gpio.led4_cnt_d\[14\],2.74µm
u_gpio.led4_cnt_q\[18\],2.74µm
u_uart.tx_baud_cnt_d\[9\],2.74µm
_0022_,2.72µm
u_gpio.led1_cnt_d\[16\],2.72µm
u_gpio.led0_cnt_d\[0\],2.665µm
_0061_,2.645µm
_0051_,2.64µm
_0269_,2.64µm
