Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_68,VGND,li1,37.4900,152.3200,0.000005
FILLER_52_65,VGND,li1,36.1100,152.3200,0.000004
FILLER_52_62,VGND,li1,34.7300,152.3200,0.000004
FILLER_52_59,VGND,li1,33.3500,152.3200,0.000004
FILLER_52_56,VGND,li1,31.9700,152.3200,0.000004
FILLER_52_53,VGND,li1,30.5900,152.3200,0.000003
FILLER_52_50,VGND,li1,29.2100,152.3200,0.000003
FILLER_52_47,VGND,li1,27.8300,152.3200,0.000003
FILLER_52_44,VGND,li1,26.4500,152.3200,0.000003
FILLER_52_41,VGND,li1,25.0700,152.3200,0.000002
FILLER_52_38,VGND,li1,23.6900,152.3200,0.000002
FILLER_52_35,VGND,li1,22.3100,152.3200,0.000002
FILLER_52_32,VGND,li1,20.9300,152.3200,0.000002
FILLER_52_29,VGND,li1,19.5500,152.3200,0.000002
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000001
FILLER_52_24,VGND,li1,17.2500,152.3200,0.000001
FILLER_52_21,VGND,li1,15.8700,152.3200,0.000001
FILLER_52_18,VGND,li1,14.4900,152.3200,0.000001
FILLER_52_15,VGND,li1,13.1100,152.3200,0.000001
FILLER_52_12,VGND,li1,11.7300,152.3200,0.000001
FILLER_52_9,VGND,li1,10.3500,152.3200,0.000001
FILLER_52_6,VGND,li1,8.9700,152.3200,0.000001
FILLER_52_3,VGND,li1,7.5900,152.3200,0.000001
FILLER_51_317,VGND,li1,152.0300,152.3200,0.000008
FILLER_51_314,VGND,li1,150.6500,152.3200,0.000008
FILLER_51_311,VGND,li1,149.2700,152.3200,0.000008
FILLER_51_308,VGND,li1,147.8900,152.3200,0.000008
FILLER_51_292,VGND,li1,140.3000,152.3200,0.000008
FILLER_51_270,VGND,li1,130.1800,152.3200,0.000007
FILLER_51_267,VGND,li1,129.0300,152.3200,0.000007
FILLER_51_236,VGND,li1,114.7700,152.3200,0.000004
FILLER_51_233,VGND,li1,113.3900,152.3200,0.000004
FILLER_51_202,VGND,li1,98.9000,152.3200,0.000004
FILLER_51_172,VGND,li1,84.8700,152.3200,0.000006
FILLER_51_169,VGND,li1,83.9500,152.3200,0.000006
FILLER_51_165,VGND,li1,82.1100,152.3200,0.000006
FILLER_51_162,VGND,li1,80.7300,152.3200,0.000006
FILLER_51_156,VGND,li1,77.5100,152.3200,0.000006
FILLER_51_153,VGND,li1,76.5900,152.3200,0.000006
FILLER_51_150,VGND,li1,75.2100,152.3200,0.000006
FILLER_51_147,VGND,li1,73.8300,152.3200,0.000007
FILLER_51_116,VGND,li1,59.3400,152.3200,0.000007
FILLER_51_113,VGND,li1,58.1900,152.3200,0.000006
FILLER_51_101,VGND,li1,52.6700,152.3200,0.000006
FILLER_51_78,VGND,li1,41.8600,152.3200,0.000005
FILLER_51_75,VGND,li1,40.7100,152.3200,0.000005
FILLER_51_72,VGND,li1,39.3300,152.3200,0.000005
FILLER_51_69,VGND,li1,37.9500,152.3200,0.000005
FILLER_51_66,VGND,li1,36.5700,152.3200,0.000004
FILLER_51_63,VGND,li1,35.1900,152.3200,0.000004
FILLER_51_60,VGND,li1,33.8100,152.3200,0.000004
FILLER_51_57,VGND,li1,32.4300,152.3200,0.000004
FILLER_51_54,VGND,li1,30.8200,152.3200,0.000003
FILLER_51_51,VGND,li1,29.6700,152.3200,0.000003
FILLER_51_48,VGND,li1,28.2900,152.3200,0.000003
FILLER_51_45,VGND,li1,26.9100,152.3200,0.000003
FILLER_51_42,VGND,li1,25.5300,152.3200,0.000003
FILLER_51_39,VGND,li1,24.1500,152.3200,0.000002
FILLER_51_36,VGND,li1,22.7700,152.3200,0.000002
FILLER_51_33,VGND,li1,21.3900,152.3200,0.000002
FILLER_51_30,VGND,li1,20.0100,152.3200,0.000002
FILLER_51_27,VGND,li1,18.6300,152.3200,0.000001
FILLER_51_24,VGND,li1,17.2500,152.3200,0.000001
FILLER_51_21,VGND,li1,15.8700,152.3200,0.000001
FILLER_51_18,VGND,li1,14.4900,152.3200,0.000001
FILLER_51_15,VGND,li1,13.1100,152.3200,0.000001
FILLER_51_12,VGND,li1,11.7300,152.3200,0.000001
FILLER_51_9,VGND,li1,10.3500,152.3200,0.000001
FILLER_51_6,VGND,li1,8.9700,152.3200,0.000001
FILLER_51_3,VGND,li1,7.5900,152.3200,0.000001
FILLER_50_318,VGND,li1,152.2600,146.8800,0.000020
FILLER_50_315,VGND,li1,151.1100,146.8800,0.000020
FILLER_50_312,VGND,li1,149.7300,146.8800,0.000020
FILLER_50_309,VGND,li1,148.3500,146.8800,0.000020
FILLER_50_305,VGND,li1,146.5100,146.8800,0.000020
FILLER_50_302,VGND,li1,145.1300,146.8800,0.000020
FILLER_50_197,VGND,li1,96.8300,146.8800,0.000009
FILLER_50_148,VGND,li1,74.2900,146.8800,0.000014
FILLER_50_137,VGND,li1,69.2300,146.8800,0.000015
FILLER_50_106,VGND,li1,54.9700,146.8800,0.000015
FILLER_50_74,VGND,li1,40.2500,146.8800,0.000011
FILLER_50_71,VGND,li1,38.8700,146.8800,0.000010
FILLER_50_68,VGND,li1,37.4900,146.8800,0.000010
FILLER_50_65,VGND,li1,36.1100,146.8800,0.000009
FILLER_50_62,VGND,li1,34.7300,146.8800,0.000009
FILLER_50_59,VGND,li1,33.3500,146.8800,0.000009
FILLER_50_56,VGND,li1,31.9700,146.8800,0.000008
FILLER_50_53,VGND,li1,30.5900,146.8800,0.000007
FILLER_50_50,VGND,li1,29.2100,146.8800,0.000007
FILLER_50_47,VGND,li1,27.8300,146.8800,0.000007
FILLER_50_44,VGND,li1,26.4500,146.8800,0.000006
FILLER_50_41,VGND,li1,25.0700,146.8800,0.000005
FILLER_50_38,VGND,li1,23.6900,146.8800,0.000005
FILLER_50_35,VGND,li1,22.3100,146.8800,0.000004
FILLER_50_32,VGND,li1,20.9300,146.8800,0.000004
FILLER_50_29,VGND,li1,19.5500,146.8800,0.000004
FILLER_50_27,VGND,li1,18.1700,146.8800,0.000003
FILLER_50_24,VGND,li1,17.2500,146.8800,0.000003
FILLER_50_21,VGND,li1,15.8700,146.8800,0.000002
FILLER_50_18,VGND,li1,14.4900,146.8800,0.000002
FILLER_50_15,VGND,li1,13.1100,146.8800,0.000002
FILLER_50_12,VGND,li1,11.7300,146.8800,0.000002
FILLER_50_9,VGND,li1,10.3500,146.8800,0.000002
FILLER_50_6,VGND,li1,8.9700,146.8800,0.000002
FILLER_50_3,VGND,li1,7.5900,146.8800,0.000002
FILLER_49_319,VGND,li1,152.4900,146.8800,0.000020
FILLER_49_281,VGND,li1,135.2400,146.8800,0.000018
FILLER_49_273,VGND,li1,131.3300,146.8800,0.000017
FILLER_49_264,VGND,li1,127.6500,146.8800,0.000016
FILLER_49_235,VGND,li1,114.0800,146.8800,0.000010
FILLER_49_228,VGND,li1,110.6300,146.8800,0.000010
FILLER_49_225,VGND,li1,109.7100,146.8800,0.000009
FILLER_49_200,VGND,li1,98.2100,146.8800,0.000008
FILLER_49_177,VGND,li1,87.4000,146.8800,0.000012
FILLER_49_146,VGND,li1,72.9100,146.8800,0.000015
FILLER_49_116,VGND,li1,59.5700,146.8800,0.000015
FILLER_49_113,VGND,li1,58.1900,146.8800,0.000015
FILLER_49_111,VGND,li1,56.8100,146.8800,0.000015
FILLER_49_108,VGND,li1,55.8900,146.8800,0.000015
FILLER_49_81,VGND,li1,43.0100,146.8800,0.000012
FILLER_49_78,VGND,li1,42.0900,146.8800,0.000012
FILLER_49_75,VGND,li1,40.7100,146.8800,0.000011
FILLER_49_72,VGND,li1,39.3300,146.8800,0.000011
FILLER_49_69,VGND,li1,37.9500,146.8800,0.000010
FILLER_49_66,VGND,li1,36.5700,146.8800,0.000009
FILLER_49_63,VGND,li1,35.1900,146.8800,0.000009
FILLER_49_60,VGND,li1,33.8100,146.8800,0.000009
FILLER_49_57,VGND,li1,32.4300,146.8800,0.000008
FILLER_49_54,VGND,li1,30.8200,146.8800,0.000007
FILLER_49_51,VGND,li1,29.6700,146.8800,0.000007
FILLER_49_48,VGND,li1,28.2900,146.8800,0.000007
FILLER_49_45,VGND,li1,26.9100,146.8800,0.000006
FILLER_49_42,VGND,li1,25.5300,146.8800,0.000006
FILLER_49_39,VGND,li1,24.1500,146.8800,0.000005
FILLER_49_36,VGND,li1,22.7700,146.8800,0.000004
FILLER_49_33,VGND,li1,21.3900,146.8800,0.000004
FILLER_49_30,VGND,li1,20.0100,146.8800,0.000004
FILLER_49_27,VGND,li1,18.6300,146.8800,0.000003
FILLER_49_24,VGND,li1,17.2500,146.8800,0.000003
FILLER_49_21,VGND,li1,15.8700,146.8800,0.000002
FILLER_49_18,VGND,li1,14.4900,146.8800,0.000002
FILLER_49_15,VGND,li1,13.1100,146.8800,0.000002
FILLER_49_12,VGND,li1,11.7300,146.8800,0.000002
FILLER_49_9,VGND,li1,10.3500,146.8800,0.000002
FILLER_49_6,VGND,li1,8.9700,146.8800,0.000002
FILLER_49_3,VGND,li1,7.5900,146.8800,0.000002
FILLER_48_318,VGND,li1,152.2600,141.4400,0.000010
FILLER_48_315,VGND,li1,151.1100,141.4400,0.000010
FILLER_48_312,VGND,li1,149.7300,141.4400,0.000010
FILLER_48_309,VGND,li1,148.3500,141.4400,0.000010
